Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
Apotex,Apotex Corp.,"$4,000,000 ",$0 ,"$4,000,000 ",2013,20131118,government-contracting-related offenses,False Claims Act and related,,The Louisiana Attorney General's Office announced that it had obtained a total of $88 million in settlements from 25 pharmaceutical companies to resolve allegations they overcharged the state's Medicaid program.,state,agency action,Louisiana Attorney General,civil,,,,,,Louisiana,,,,,,Canada,,privately held,,pharmaceuticals,generic drugs,https://web.archive.org/web/20131206104321/http://www.ag.state.la.us/Article.aspx?articleID=788&catID=2,
Astellas,Astellas Pharma,"$1,130,000 ",$0 ,"$1,130,000 ",2013,20131118,government-contracting-related offenses,False Claims Act and related,,The Louisiana Attorney General's Office announced that it had obtained a total of $88 million in settlements from 25 pharmaceutical companies to resolve allegations they overcharged the state's Medicaid program.,state,agency action,Louisiana Attorney General,civil,,,,,,Louisiana,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20131206104321/http://www.ag.state.la.us/Article.aspx?articleID=788&catID=2,
Astellas Pharma US Inc.,Astellas Pharma,"$3,100,000 ","$3,100,000 ",$0 ,2014,20140416,government-contracting-related offenses,False Claims Act and related,off-label or unapproved promotion of medical products,"Astellas Pharma agreed to pay $3.1 million to resolve multistate litigation alleging that it violated the False Claims Act in connection with its marketing and promotion of the drug Mycamine for pediatric use, which had not received FDA approval. This was part of a larger $7.3 million settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-astellas-pharma-us-inc",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/astellas-pharma-us-inc-pay-73-million-resolve-false-claims-act-allegations-relating-marketing,
AstraZeneca,AstraZeneca,"$807,826 ",$0 ,"$807,826 ",2004,20040122,government-contracting-related offenses,False Claims Act and related,,"AstraZeneca agreed to pay $807,826 in settlement of allegations it overcharged Medicaid for the drug Zoladex by not including promotions, free goods, discounts, rebates, and other price reductions in the price paid by Florida's Medicaid Program.",state,agency action,Florida Attorney General,civil,,,,,,Florida,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20041213092454/http://myfloridalegal.com/newsrel.nsf/newsreleases/6AF7FEBC6494C36585256E23006CDACB,
AstraZeneca,AstraZeneca,"$5,500,000 ",$0 ,"$5,500,000 ",2013,20130207,healthcare-related offenses,off-label or unapproved promotion of medical products,,AstraZeneca agreed to pay $5.5 million in settlement of allegations it illegally promoted its drug Seroquel for uses that were not approved by the Food and Drug Administration.,state,agency action,Kentucky Attorney General,civil,,,,,,Kentucky,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20140901194126/http://migration.kentucky.gov/Newsroom/ag/seroquelsettlement.htm,
AstraZeneca,AstraZeneca,"$5,391,000 ",$0 ,"$5,391,000 ",2010,20100127,consumer-protection-related offenses,consumer protection violation,,"Following an earlier guilty verdict at trial, AstraZeneca was ordered to pay $5.3 million in civil penalties for violations of the Kentucky Consumer Protection Act for its misreporting the average wholesale price of its drugs.",state,agency action,Kentucky Attorney General,civil,,,,,,Kentucky,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20100814195013/http://migration.kentucky.gov/Newsroom/ag/astrazenecacivil.htm,
AstraZeneca,AstraZeneca,"$14,700,000 ",$0 ,"$14,700,000 ",2009,20091015,government-contracting-related offenses,False Claims Act and related,,AstraZeneca was found guilty by a jury of defrauding Kentucky Medicaid by declaring inflated average wholesale prices of its drugs and was ordered to pay $14.7 million.,state,agency action,Kentucky Attorney General,civil,,,,,,Kentucky,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20100815134454/http://migration.kentucky.gov/Newsroom/ag/astrazenecaverdict.htm,
AstraZeneca,AstraZeneca,"$110,000,000 ",$0 ,"$110,000,000 ",2018,20180807,government-contracting-related offenses,False Claims Act and related,off-label or unapproved promotion of medical products,AstraZeneca agreed to pay $110 million to the state of Texas to settle lawsuits alleging that the company falsely and misleadingly marketed two of its drugs in violation of the Texas Medicaid Fraud Prevention Act.,state,agency action,Texas Attorney General,civil,,,,,,Texas,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.texasattorneygeneral.gov/news/releases/ag-paxton-recovers-110-million-texas-medicaid-fraud-settlements,
AstraZeneca LP,AstraZeneca,"$46,500,000 ","$46,500,000 ",$0 ,2015,20151104,government-contracting-related offenses,False Claims Act and related,,"AstraZeneca argeed to pay $46.5 million to settle multistate allegations that it overcharged state Medicaid programs for pharmaceutical products by underpaying drug rebates owed to the states. Also involved in the settlement was the federal government, which issued its own announcement; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-astrazeneca-lp-1",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20170716210609/https://ag.ny.gov/press-release/ag-schneiderman-announces-54-million-multistate-settlement-astrazeneca-lp-and-cephalon,
AstraZeneca Pharmaceuticals,AstraZeneca,"$68,500,000 ",$0 ,"$68,500,000 ",2011,20110310,healthcare-related offenses,off-label or unapproved promotion of medical products,drug or medical equipment safety violation,"AstraZeneca Pharmaceuticals agreed to pay $68.5 million to settle multistate litigation alleging unfair and deceptive practices in its marketing of the antipsychotic drug Seroquel, including promotion of the drug for unapproved uses, failure to adequately disclose potential side effects to health care providers, and withholding of scientific studies that called into question the drug's safety and efficacy.",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-and-37-other-attorneys-general-announce-685,
AstraZeneca Pharmaceuticals LP,AstraZeneca,"$24,900,000 ","$24,900,000 ",$0 ,2003,20030630,government-contracting-related offenses,False Claims Act and related,,AstraZeneca agreed to pay $24.9 million to state attorneys general and federal agencies to resolve allegations that it caused false and fraudulent claims to be filed with the states as a result of its pricing and marketing misconduct relating to the prostate cancer drug Zoladex and that it failed to provide the state Medicaid programs its best price for the drug as required by law. This was part of a larger $354.9 million civil and criminal settlement negoltiated by the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-astrazeneca-pharmaceuticals-lp,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2003/June/03_civ_371.htm,
AstraZeneca Pharmaceuticals LP,AstraZeneca,"$2,600,000 ","$2,600,000 ",$0 ,2009,20091019,government-contracting-related offenses,False Claims Act and related,,"AstraZeneca agreed to pay $2.6 million to settle multistate litigation claiming it violated the False Claims Act by failing to pay appropriate rebates for drugs that were paid for by Medicaid. Also involved in the settlement was the U.S. Justice Department, which made its own announcement; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-astrazeneca-pharmaceuticals",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20100213182921/http://www.ag.ny.gov/media_center/2009/oct/oct19a_09.html,
AstraZeneca Pharmaceuticals LP,AstraZeneca,"$218,092,993 ","$218,092,993 ",$0 ,2010,20100427,healthcare-related offenses,off-label or unapproved promotion of medical products,,AstraZeneca agreed to pay $218 million to settle multistate litigation regarding its practice of promoting its blockbuster antipsychotic drug Seroquel for unapproved uses. This was part of a larger $520 million settlement also involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-astrazeneca-lp,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/pharmaceutical-giant-astrazeneca-pay-520-million-label-drug-marketing,
AstraZeneca Pharmaceuticals LP and AstraZeneca LP,AstraZeneca,"$2,500,000 ",$0 ,"$2,500,000 ",2011,20110811,government-contracting-related offenses,False Claims Act and related,,AstraZeneca Pharmaceuticals LP and AstraZeneca LP agreed to pay $2.5 million in settlement of allegations they misreported the average wholesale price of their drugs.  ,state,agency action,Idaho Attorney General,civil,,,,,,Idaho,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20120513204237/http://www.ag.idaho.gov/media/newsReleases/2011/nr_08112011.html,
"AstraZeneca Pharmaceuticals, LP",AstraZeneca,"$3,333,333 ",$0 ,"$3,333,333 ",2010,20101006,government-contracting-related offenses,False Claims Act and related,,"AstraZeneca, GlaxoSmithKline and Novartis together agreed to pay $10 million as part of a series of settlements between pharmaceutical companies and Hawaii of allegations that they published inflated prices for drugs and thus increased Medicaid costs. The announcement did not specify how that amount would be split among the three companies. Here we assume it was divided evenly among them.",state,agency action,Hawaii Attorney General,civil,,,,,,Hawaii,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,http://ag.hawaii.gov/wp-content/uploads/2012/12/2010-21.pdf,
Aventis,Sanofi,"$7,000,000 ",$0 ,"$7,000,000 ",2013,20131118,government-contracting-related offenses,False Claims Act and related,,The Louisiana Attorney General's Office announced that it had obtained a total of $88 million in settlements from 25 pharmaceutical companies to resolve allegations they overcharged the state's Medicaid program.,state,agency action,Louisiana Attorney General,civil,,,,,,Louisiana,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20131206104321/http://www.ag.state.la.us/Article.aspx?articleID=788&catID=2,
Aventis Pharmaceutical Inc.,Sanofi,"$40,000,000 ","$40,000,000 ",$0 ,2009,20090528,government-contracting-related offenses,False Claims Act and related,,Aventis Pharmaceutical Inc. agreed to pay $40 million to settle multistate litigation alleging that it violated the False Claims Act by misreporting drug prices in order to reduce its Medicaid Drug Rebate obligations. This was part of a larger $95.5 million settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-aventis-pharmaceutical-inc,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/aventis-pharmaceutical-pay-us-955-million-settle-false-claims-act-allegations,
Aventis Pharmaceutical L.P.,Sanofi,"$14,833,333 ",$0 ,"$14,833,333 ",2009,20090522,government-contracting-related offenses,False Claims Act and related,,The Alabama AG announced that a group of six pharmaceutical companies agreed to pay a total of $89 million to settle litigation relating to Medicaid average wholesale prices. The amount to be paid by each company was not revealed. Here we assume the total was divided equally among them.,state,agency action,Alabama Attorney General,civil,,,,,,Alabama,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,"Associated Press, Ala. settles suits with 6 drug firms for $89M, May 22, 2009 (via Nexis). ",
Aventis Pharmaceuticals Inc.,Sanofi,"$10,645,600 ","$10,645,600 ",$0 ,2007,20070910,government-contracting-related offenses,False Claims Act and related,,Aventis Pharmaceuticals Inc. agreed to pay $10.6 million to settle multistate litigation alleging that the company caused false claims to be filed with state Medicaid programs as a result of the company's alleged fraudulent pricing and marketing of drugs such as the anti-emetic medication Anzemet. This was part of a larger $190 million settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-aventis-pharmaceuticals-inc,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2007/September/07_civ_694.html,
Aventis Pharmaceuticals Inc.,Sanofi,"$1,300,000 ",$0 ,"$1,300,000 ",2010,20100511,government-contracting-related offenses,False Claims Act and related,,,state,agency action,New Jersey Attorney General,civil,,,,,,New Jersey,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.nj.gov/oag/newsreleases10/pr20100511b.html,
Aventis Pharmaceuticals Inc.,Sanofi,"$40,000,000 ",$0 ,"$40,000,000 ",2003,20030127,competition-related offenses,price-fixing or anti-competitive practices,,Aventis Pharmaceuticals Inc. and Andrx Corporation agreed to pay a total of $80 million to settle multistate antitrust litigation alleging they  conspired to keep a popular generic heart medication off the market. The division of the costs between the two companies was not disclosed; here we assume the amount was divided equally between the two.,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-80-million-settlement-antitrust-case-against,
"Aventis Pharmaceuticals, Inc.",Sanofi,"$1,650,000 ",$0 ,"$1,650,000 ",2012,20120130,competition-related offenses,price-fixing or anti-competitive practices,,Aventis and Ferring agreed to pay a total of $3.45 million to settle multistate litigation claiming they engaged in anti-competitive actions with regard to the sale of the drug DDAVP.,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,http://app3.naag.org/antitrust/search/viewCivilLitigation.php?trans_id=631,
"Aventis Pharmaceuticals, Inc. and Aventis Behring, LLC",Sanofi,"$2,290,000 ",$0 ,"$2,290,000 ",2012,20120605,government-contracting-related offenses,False Claims Act and related,,"Aventis Pharmaceuticals, Inc. and Aventis Behring, LLC agreed to pay $2.29 million in settlement of alleged improper reporting of the average wholesale price of its drugs, causing Medicaid to overpay.",state,agency action,Kentucky Attorney General,civil,,,,,,Kentucky,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20140901195949/http://migration.kentucky.gov/Newsroom/ag/Sanofiaventissettlement.htm,
"Barr Laboratories, Inc. and Duramed Pharmaceuticals, Inc.",Teva Pharmaceutical Industries,"$2,000,000 ",$0 ,"$2,000,000 ",2007,20071005,government-contracting-related offenses,False Claims Act and related,,"Barr Laboratories and Duramed Pharmceuticals, subsidiaries of Barr Pharmaceuticals, Inc., agreed to pay $2 mllion in settlement of alleged improper reporting of the average wholesale price of its drugs, causing Medicaid to pay inflated amounts.",state,agency action,Massachusetts Attorney General,civil,,,,,,Massachusetts,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20080719152310/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2007_10_05_duramed_settlement&csid=Cago,
Barr Pharmaceuticals,Teva Pharmaceutical Industries,"$5,900,000 ",$0 ,"$5,900,000 ",2008,20080225,competition-related offenses,price-fixing or anti-competitive practices,,Barr Pharmaceuticals agreed to pay $5.9 million to settle a multistate lawsuit alleging it accepted a $20 million payment from Warner Chilcott to forgo marketing of a generic version of the contraceptive Ovcon.,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://news.delaware.gov/2008/02/25/biden-acts-to-ensure-pharmaceutical-competition-fair-prices/,
Bausch & Lomb,Bausch Health,"$17,500,000 ",$0 ,"$17,500,000 ",2001,20010220,competition-related offenses,price-fixing or anti-competitive practices,,Bausch & Lomb agreed to pay $17.5 million -- $8 million in cash and $9.5 million in goods -- to settle multistate litigation alleging price-fixing of replacement contact lenses.,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Canada,,publicly traded,BHC,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20100214205306/http://www.ag.ny.gov/media_center/2001/feb/feb20a_01.html,
"Ben Venue Laboratories, Inc.",Boehringer Ingelheim,"$357,000 ",$0 ,"$357,000 ",2009,20091113,government-contracting-related offenses,False Claims Act and related,,"A group of seven pharmaceutical companies agreed to pay Iowa a total of $4.3 million to settle a lawsuit alleging false reporting of average wholesale prices, thus increasing costs for the state's Medicaid program. The announcement did not specify how much each company would pay. Here we assume the total was divided equally among them.",state,agency action,Iowa Attorney General,civil,,,,,,Iowa,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20110114073554/http://www.state.ia.us/government/ag/latest_news/releases/nov_2009/Little_Group_AWP_settlement.html,"Abbott Laboratories, Inc.; Amgen, Inc.; Baxter International, Inc. (and associated companies); Ben Venue Laboratories, Inc.; Boehringer Ingelheim Roxane, Inc. (and associated companies); Immunex Corp.; and Roxane Laboratories, Inc. collectively agreed to pay $2.5 million in settlement"
Biogen Idec Inc.,Biogen Idec,"$10,000 ",$0 ,"$10,000 ",2007,20070108,consumer-protection-related offenses,consumer protection violation,,,state,agency action,Vermont Attorney General,civil,,,,,,Vermont,,,,,,USA,Massachusetts,publicly traded,BIIB,pharmaceuticals,pharmaceuticals,"Attorney General Sorrell Requires Pharmaceutical Manufacturer to Comply with Marketing Disclosure Laws, US States News, January 8, 2007 (via Nexis).",
Biovail,Bausch Health,"$200,000 ",$0 ,"$200,000 ",2013,20131118,government-contracting-related offenses,False Claims Act and related,,The Louisiana Attorney General's Office announced that it had obtained a total of $88 million in settlements from 25 pharmaceutical companies to resolve allegations they overcharged the state's Medicaid program.,state,agency action,Louisiana Attorney General,civil,,,,,,Louisiana,,,,,,Canada,,publicly traded,BHC,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20131206104321/http://www.ag.state.la.us/Article.aspx?articleID=788&catID=2,
Boehringer Ingelheim,Boehringer Ingelheim,"$3,250,000 ",$0 ,"$3,250,000 ",2012,20120207,government-contracting-related offenses,False Claims Act and related,,The Louisiana Attorney General's Office announced that it had obtained a total of $25.2 million in settlements from five pharmaceutical companies to resolve allegations they overcharged the state's Medicaid program.,state,agency action,Louisiana Attorney General,civil,,,,,,Louisiana,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,http://s3.amazonaws.com/fcmd/documents/documents/000/002/620/original/glaxo-et-al-defrauding-la-medicaid_laagpr.pdf?1423021174,
Boehringer Ingelheim Corp.,Boehringer Ingelheim,"$10,000,000 ",$0 ,"$10,000,000 ",2005,20051128,government-contracting-related offenses,False Claims Act and related,,falsification of wholesale drug price reporting,state,agency action,Texas Attorney General,civil,,,,,,Texas,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,"Attorney General Abbott Wins $10 Million in Medicaid Fraud Case, US States News, November 28, 2005 (via Nexis).",
"Boehringer Ingelheim Pharmaceuticals, Inc.",Boehringer Ingelheim,"$13,500,000 ",$0 ,"$13,500,000 ",2017,20171220,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Boehringer Ingelheim Pharmaceuticals, Inc. agreed to pay $13.5 million to settle multistate litigation alleging deceptive and misleading representation and off-label marketing of its prescription drugs. ",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,https://www.oag.ca.gov/news/press-releases/attorney-general-becerra-49-other-attorneys-general-announce-135-million,
"Boehringer Ingelheim Pharmaceuticals, Inc.",Boehringer Ingelheim,"$7,750,000 ",$0 ,"$7,750,000 ",2010,20100420,government-contracting-related offenses,False Claims Act and related,,misreporting average wholesale drug prices to Medicaid,state,agency action,Wisconsin Attorney General,civil,,,,,,Wisconsin,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20141102093230/http://www.doj.state.wi.us/media-center/2010-news-releases/april-20-2010,
"Boehringer Ingelheim Pharmaceuticals, Inc., Boehringer Ingelheim Roxane, Inc., Roxane Laboratories, Inc. and Ben Venue Laboratories, Inc.",Boehringer Ingelheim,"$4,500,000 ",$0 ,"$4,500,000 ",2009,20090710,government-contracting-related offenses,False Claims Act and related,,"Subsidiaries of Boehringer Ingelheim GmbH agreed to pay $4.5 million in settlement of alleged improper reporting of the average wholesale price of its drugs, causing Medicaid to overpay.",state,agency action,Kentucky Attorney General,civil,,,,,,Kentucky,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20100816055302/http://migration.kentucky.gov/Newsroom/ag/boehringersettlement.htm,
"Boehringer Ingelheim Roxane, Inc.",Hikma Pharmaceuticals,"$1,800,000 ",$0 ,"$1,800,000 ",2008,20080922,government-contracting-related offenses,False Claims Act and related,,"Boehringer Ingelheim Roxane, Inc. agreed to pay $1.8 million in settlement of alleged improper reporting of the average wholesale price of its drugs, causing Medicaid to pay inflated amounts.",state,agency action,Massachusetts Attorney General,civil,,,,,,Massachusetts,,,,,,United Kingdom,,publicly traded,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20090115030429/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2008_09_22_boehringer_ingelheim_roxane&csid=Cago,
"Boehringer Ingelheim Roxane, Inc. et al.",Hikma Pharmaceuticals,"$357,000 ",$0 ,"$357,000 ",2009,20091113,government-contracting-related offenses,False Claims Act and related,,"A group of seven pharmaceutical companies agreed to pay Iowa a total of $4.3 million to settle a lawsuit alleging false reporting of average wholesale prices, thus increasing costs for the state's Medicaid program. The announcement did not specify how much each company would pay. Here we assume the total was divided equally among them.",state,agency action,Iowa Attorney General,civil,,,,,,Iowa,,,,,,United Kingdom,,publicly traded,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20110114073554/http://www.state.ia.us/government/ag/latest_news/releases/nov_2009/Little_Group_AWP_settlement.html,"Abbott Laboratories, Inc.; Amgen, Inc.; Baxter International, Inc. (and associated companies); Ben Venue Laboratories, Inc.; Boehringer Ingelheim Roxane, Inc. (and associated companies); Immunex Corp.; and Roxane Laboratories, Inc. collectively agreed to pay $2.5 million in settlement"
Boehringer Ingleheim,Boehringer Ingelheim,"$1,400,000 ",$0 ,"$1,400,000 ",2011,20110923,government-contracting-related offenses,False Claims Act and related,,"Boehringer Ingleheim agreed to pay $1.4 million in settlement of allegations of improper reporting of the average wholesale price of its drugs, causing Medicaid to overpay.",state,agency action,Kansas Attorney General,civil,,,,,,Kansas,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20181215175030/https://ag.ks.gov/media-center/news-releases/2011-news-releases/2011/10/07/attorney-general-schmidt-announces-$1.4-million-recovered-for-kansas-medicaid-program,
"Boehringer-Ingelheim Pharmaceuticals, Inc.",Boehringer Ingelheim,"$95,000,000 ","$95,000,000 ",$0 ,2012,20121025,healthcare-related offenses,off-label or unapproved promotion of medical products,kickbacks and bribery,"Boehringer-Ingelheim Pharmaceuticals, Inc. agreed to pay $95 million to resolve multistate litigation alleging that it marketed the drugs Aggrenox, Atrovent, Combivent and Micardis for uses not approved by the FDA and paid kickbacks to medical professionals. Also involved in the settlement was the federal government, which issued its own announcement; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-boehringer-ingelheim-pharmaceuticals-inc",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20160820130503/http://ag.ny.gov/press-release/ag-schneiderman-announces-95-million-national-settlement-pharma-company-over,
Bristol-Myers Squibb,Bristol-Myers Squibb,"$187,000,000 ","$187,000,000 ",$0 ,2008,20080715,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,Bristol-Myers Squibb agreed to pay $187 million to settle multistate litigiation alleging that the company reported grossly inflated drug wholesale prices to state Medicaid programs and engaged in other improper marketing practices. This was part of a larger $515 million settlement also involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-bristol-myers-squibb-company-0,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.oag.ca.gov/news/press-releases/brown-announces-23-million-drug-price-settlement-bristol-myers-squibb,
Bristol-Myers Squibb,Bristol-Myers Squibb,"$19,500,000 ",$0 ,"$19,500,000 ",2016,20161208,healthcare-related offenses,off-label or unapproved promotion of medical products,,Bristol-Myers Squibb agreed to pay $19.5 million to settle multistate litigation alleging that it illegally marketed the atypical antipsychotic drug Abilify. ,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-42-other-attorneys-general-announce-195-million,
Bristol-Myers Squibb,Bristol-Myers Squibb,"$55,000,000 ",$0 ,"$55,000,000 ",2003,20030424,competition-related offenses,price-fixing or anti-competitive practices,,"Bristol-Myers Squibbb agreed to pay $55 million to settle multistate litigation alleging it illegally denied consumers access to cheaper, generic versions of its cancer-fighting drug Taxol.",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-55-million-settlement-bristol-lawsuit,
Bristol-Myers Squibb,Bristol-Myers Squibb,"$11,000,000 ",$0 ,"$11,000,000 ",2008,20081223,government-contracting-related offenses,False Claims Act and related,,Medicaid average wholesale price litigation.,state,agency action,Alabama Attorney General,civil,,,,,,Alabama,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,"Attorney General Announces $28 Million in New Settlements with Drug Companies, press release transmitted by US States News, December 23, 2008 and Terms of Medicaid Drug Suit Settlements Announced, Associated Press, December 23, 2008 (both via Nexis).",
Bristol-Myers Squibb,Bristol-Myers Squibb,"$27,600,000 ",$0 ,"$27,600,000 ",2010,20100929,government-contracting-related offenses,False Claims Act and related,,falsification in reporting of wholesale drug prices,state,agency action,Pennsylvania Attorney General,civil,,,,,,Pennsylvania,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,"Attorney General Corbett Secures $27 Million Consumer Protection Award from Bristol-Myers Squibb in Drug Price Manipulation Case, Targeted News Service, September 29, 2010 (via Nexis).",
Bristol-Myers Squibb Co.,Bristol-Myers Squibb,"$100,000,000 ",$0 ,"$100,000,000 ",2003,20030307,competition-related offenses,price-fixing or anti-competitive practices,,"Bristol-Myers agreed to pay up to $100 million to resolve multistate litigation alleging illegally maintained its monopoly over BuSpar by misleadingly claiming that a newly obtained patent covered the drug, and by agreeing with certain drug manufacturers to delay the entry of lower-cost generic substitutes.",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20100215060402/http://www.ag.ny.gov/media_center/2003/mar/mar07a_03.html,
Bristol-Myers Squibb Company,Bristol-Myers Squibb,"$1,100,000 ",$0 ,"$1,100,000 ",2008,20081223,competition-related offenses,price-fixing or anti-competitive practices,,Bristol-Myers Squibb agreed to pay $1.1 million to settle multistate allegations that it violated court orders in connection with a previous case in which it had been accused of unlawfully depriving consumers of cheaper generic versions of its drugs Buspar and Taxol.,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,http://ag.nv.gov/uploadedFiles/agnvgov/Content/News/PR/Archive/2008pr.pdf,
